date,Visits_count,revenue
6/28/2023,819,7303.58
6/27/2023,952,18864.25
6/26/2023,639,19090.74
6/25/2023,1557,53051.36
6/24/2023,2363,92668.16
6/23/2023,1535,61656.28
6/22/2023,987,24308.42
6/21/2023,752,22759.33
6/20/2023,652,16473.69
6/19/2023,463,18736.96
6/18/2023,1633,56361.39
6/17/2023,2246,89573.16
6/16/2023,1278,51716.2
6/15/2023,1285,32980.77
6/14/2023,604,18011.69
6/13/2023,620,15501.51
6/12/2023,326,12582.15
6/11/2023,1440,46807.27
6/10/2023,2223,88977.6
6/9/2023,1511,58033.22
6/8/2023,2019,65001.73
6/7/2023,1131,41374.8
6/6/2023,872,20522.16
6/5/2023,409,13815.08
6/4/2023,1508,49559.05
6/3/2023,2399,92561.58
6/2/2023,1440,56641.39
6/1/2023,1040,26156.72
5/31/2023,561,17631.45
5/30/2023,923,19455.2
5/29/2023,1662,51269.29
5/28/2023,2129,76427.65
5/27/2023,2240,91428.39
5/26/2023,1317,55165.9
5/25/2023,1141,27351.81
5/24/2023,509,15845.86
5/23/2023,612,14595.16
5/22/2023,489,16188.12
5/21/2023,1585,52543.23
5/20/2023,2348,90899.92
5/19/2023,2138,75306.08
5/18/2023,2298,76215.96
5/17/2023,1191,45423.24
5/16/2023,743,15523.2
5/15/2023,522,16868.22
5/14/2023,1801,60021.99
5/13/2023,2214,82748.29
5/12/2023,1554,58029.56
5/11/2023,1237,30031.25
5/10/2023,644,21438.68
5/9/2023,508,16258.92
5/8/2023,456,14242.76
5/7/2023,1899,63021.14
5/6/2023,2563,96580.51
5/5/2023,1543,60915.81
5/4/2023,1247,31139.27
5/3/2023,637,20969.05
5/2/2023,388,11337.63
5/1/2023,1499,47743.72
4/30/2023,2299,83165.96
4/29/2023,2595,96816.38
4/28/2023,1621,60211.38
4/27/2023,1207,29709.04
4/26/2023,587,16898.67
4/25/2023,468,16278.12
4/24/2023,507,17389.07
4/23/2023,1968,64091.99
4/22/2023,2472,92715.65
4/21/2023,1624,62990.32
4/20/2023,762,19377.35
4/19/2023,592,18999.05
4/18/2023,444,14795.71
4/17/2023,379,12793.91
4/16/2023,1989,65503.59
4/15/2023,2500,93994.18
4/14/2023,2307,77382.79
4/13/2023,1935,48166.28
4/12/2023,1538,41787.55
4/11/2023,1206,32437
4/10/2023,1728,52693.44
4/9/2023,1856,67229.4
4/8/2023,2656,93998.46
4/7/2023,2653,92435.49
4/6/2023,1729,51005.56
4/5/2023,1311,34918.64
4/4/2023,1039,28470.51
4/3/2023,991,26500.9
4/2/2023,2049,64902.5
4/1/2023,2555,96481.21
3/31/2023,1585,60304.53
3/30/2023,1121,27043.41
3/29/2023,537,19110.91
3/28/2023,469,15380.15
3/27/2023,406,13209.59
3/26/2023,1850,61633.24
3/25/2023,2476,90367.99
3/24/2023,1625,61852.73
3/23/2023,1195,27696.54
3/22/2023,499,15710.56
3/21/2023,504,15574.09
3/20/2023,475,14567.57
3/19/2023,2005,63765.29
3/18/2023,2617,97692.86
3/17/2023,1460,55623.84
3/16/2023,1185,28332.37
3/15/2023,605,20358.77
3/14/2023,501,16462.85
3/13/2023,361,9998.67
3/12/2023,1909,61534.86
3/11/2023,2693,97828.61
3/10/2023,1407,52314.93
3/9/2023,923,21376.19
3/8/2023,453,16026.29
3/7/2023,433,12862.18
3/6/2023,387,12431.94
3/5/2023,1794,59279.98
3/4/2023,2512,94697.9
3/3/2023,1465,57092.05
3/2/2023,1084,25321.08
3/1/2023,525,16162.15
2/28/2023,513,15926.6
2/27/2023,501,14309.64
2/26/2023,1825,49834.7
2/25/2023,2582,93654.64
2/24/2023,1462,55106.96
2/23/2023,887,20322.37
2/22/2023,590,17760.65
2/21/2023,543,14315.28
2/20/2023,969,24446.57
2/19/2023,1650,46260.19
2/18/2023,2252,79243.14
2/17/2023,1380,53681.77
2/16/2023,791,18505.31
2/15/2023,597,17191.78
2/14/2023,673,12716.66
2/13/2023,470,12113.64
2/12/2023,1705,51590.46
2/11/2023,2564,85753.53
2/10/2023,1335,46733.74
2/9/2023,990,21743.72
2/8/2023,430,13189.94
2/7/2023,389,11035.82
2/6/2023,285,9465.03
2/5/2023,1834,54392.65
2/4/2023,2389,83774.49
2/3/2023,1534,51645.67
2/2/2023,924,23257.17
2/1/2023,429,13598.84
1/31/2023,356,11187.57
1/30/2023,438,14702.62
1/29/2023,1672,50833.84
1/28/2023,2320,77369.05
1/27/2023,1211,39776.67
1/26/2023,875,19257.62
1/25/2023,442,15482.03
1/24/2023,380,11864.85
1/22/2023,1674,49955.67
1/21/2023,2289,74801.59
1/20/2023,1284,43037.05
1/19/2023,883,19585.21
1/18/2023,475,14565.49
1/17/2023,360,10964.22
1/16/2023,355,11330.15
1/15/2023,1829,57500.03
1/14/2023,2402,83604.7
1/13/2023,1459,46927.43
1/12/2023,858,20891.96
1/11/2023,320,11410.59
1/10/2023,353,9880.28
1/9/2023,237,8187.08
1/8/2023,1919,58066.86
1/7/2023,2498,82310.23
1/6/2023,2133,68011.51
1/5/2023,2226,39714.29
1/4/2023,1543,39572.84
1/3/2023,1461,38244.32
1/2/2023,1314,32930.39
1/1/2023,754,21347.17
12/31/2022,1491,52492.87
12/30/2022,2599,81067.56
12/29/2022,2775,62035.65
12/28/2022,2354,68558
12/27/2022,2390,67415.66
12/26/2022,1661,40671.39
12/25/2022,1312,37127.23
12/24/2022,280,8465.42
12/23/2022,1182,41444.99
12/22/2022,1176,29166.16
12/21/2022,612,19511.2
12/20/2022,491,15968.1
12/19/2022,422,13288.43
12/18/2022,917,31885.68
12/17/2022,1611,59126.73
12/16/2022,897,35450.78
12/15/2022,696,16748.3
12/14/2022,543,17007.64
12/13/2022,459,15717.19
12/12/2022,385,12542.89
12/11/2022,1296,40277.7
12/10/2022,1862,67635.19
12/9/2022,914,34547.53
12/8/2022,606,16777.1
12/7/2022,550,19143.85
12/6/2022,275,8117.24
12/5/2022,300,10720.88
12/4/2022,1267,36648.84
12/3/2022,2032,67921.92
12/2/2022,1119,34744.53
12/1/2022,567,15116.56
11/30/2022,579,19082.22
11/29/2022,351,12756.95
11/28/2022,372,12050.27
11/27/2022,1291,42090.34
11/26/2022,2077,73187.59
11/25/2022,1127,39515.65
11/24/2022,717,17613.01
11/23/2022,486,18036.79
11/22/2022,258,7789.16
11/21/2022,298,11130.77
11/20/2022,1513,48436.04
11/19/2022,2357,76797.74
11/18/2022,1283,45725.07
11/17/2022,854,21807.72
11/16/2022,469,15614
11/15/2022,307,10448.69
11/14/2022,301,9589.35
11/13/2022,1737,55823.75
11/12/2022,2489,86576.51
11/11/2022,1462,48852.37
11/10/2022,769,18972.13
11/9/2022,447,15125.67
11/8/2022,391,11117.2
11/7/2022,376,14922.22
11/6/2022,1565,49917.1
11/5/2022,2369,83420.56
11/4/2022,1572,55320.45
11/3/2022,841,19761.04
11/2/2022,447,13748.57
11/1/2022,1585,44684.69
10/31/2022,1582,47626.18
10/30/2022,1886,60359.44
10/29/2022,2407,83922.93
10/28/2022,1584,55202.87
10/27/2022,987,25075.63
10/26/2022,591,19650.65
10/25/2022,463,13603.67
10/24/2022,429,14335.4
10/23/2022,1657,52706.07
10/22/2022,2280,74934.13
10/21/2022,1447,51987.96
10/20/2022,962,24142.87
10/19/2022,531,16368.47
10/18/2022,450,15489.39
10/17/2022,453,14151.7
10/16/2022,1807,55091.02
10/15/2022,2509,83658.2
10/14/2022,1723,55352.84
10/13/2022,1532,32817.49
10/12/2022,906,24526.83
10/11/2022,736,18691.51
10/10/2022,756,21654.56
10/9/2022,1536,47212.69
10/8/2022,2389,81524.65
10/7/2022,1404,47708.91
10/6/2022,1370,27923.85
10/5/2022,790,20472.42
10/4/2022,663,18703.79
10/3/2022,1793,48737.41
10/2/2022,1819,61345.49
10/1/2022,2223,76503.89
9/30/2022,1393,46764.73
9/29/2022,1102,30016.3
9/28/2022,525,16110.35
9/27/2022,563,16877.43
9/26/2022,309,10363.04
9/25/2022,1499,48403.37
9/24/2022,2108,73350.39
9/23/2022,1415,51608.34
9/22/2022,974,23227.8
9/21/2022,518,18120.59
9/20/2022,478,15035.07
9/19/2022,476,14906.39
9/18/2022,1453,45901.49
9/17/2022,2077,75542.08
9/16/2022,1514,51826.04
9/15/2022,1190,27226.32
9/14/2022,622,20837.38
9/13/2022,478,15341.96
9/12/2022,470,14771.68
9/11/2022,1615,50931.27
9/10/2022,2175,74758.7
9/9/2022,1455,49627.89
9/8/2022,1124,28354.06
9/7/2022,746,24160.8
9/6/2022,459,14361.97
9/5/2022,520,17024.33
9/4/2022,1493,48483.5
9/3/2022,2145,76713.9
9/2/2022,1500,51770.05
9/1/2022,1125,26173.09
8/31/2022,690,22424.16
8/30/2022,528,21547.48
8/29/2022,683,21726.36
8/28/2022,1506,45674.62
8/27/2022,2113,71614.58
8/26/2022,1384,48757.02
8/25/2022,1091,27532.05
8/24/2022,718,22123.08
8/23/2022,655,20012.04
8/22/2022,542,17829.61
8/21/2022,1358,43140.16
8/20/2022,2027,70748.96
8/19/2022,1594,58093.72
8/18/2022,1355,30987.37
8/17/2022,841,25850.5
8/16/2022,621,17163.13
8/15/2022,531,17360.39
8/14/2022,1354,46075.74
8/13/2022,2101,75755.33
8/12/2022,1389,53954.96
8/11/2022,1247,30769.34
8/10/2022,683,21779.99
8/9/2022,667,19834.58
8/8/2022,920,26369.28
8/7/2022,1526,47819.85
8/6/2022,2166,73869.52
8/5/2022,1467,50261.91
8/4/2022,1436,32437.64
8/3/2022,789,21941.79
8/2/2022,899,24682.38
8/1/2022,825,22585.54
7/31/2022,1647,53746.35
7/30/2022,2264,77964.79
7/29/2022,1584,56898.25
7/28/2022,1566,35194.94
7/27/2022,1176,33196.54
7/26/2022,751,19376.09
7/25/2022,566,15304.4
7/24/2022,1028,34454.95
7/23/2022,2009,69112.05
7/22/2022,1291,43370.64
7/21/2022,1198,26221.12
7/20/2022,696,18146.38
7/19/2022,356,11363.53
7/18/2022,434,12906.46
7/17/2022,1155,37386.73
7/16/2022,2002,69662.65
7/15/2022,1446,51191.71
7/14/2022,1226,26819.53
7/13/2022,717,20728.72
7/12/2022,597,18402.42
7/11/2022,536,16642.01
7/10/2022,1331,41033.42
7/9/2022,2258,80745.05
7/8/2022,1395,49697.66
7/7/2022,1041,22687.1
7/6/2022,686,19557.31
7/5/2022,531,15999.11
7/4/2022,460,12766.07
7/3/2022,1226,38643.38
7/2/2022,2112,75759.39
7/1/2022,1398,51698.92
6/30/2022,1093,25294.35
6/29/2022,567,16312.33
6/28/2022,504,13446.24
6/27/2022,535,16091.45
6/26/2022,1330,41574.9
6/25/2022,2094,72562.74
6/24/2022,1235,43327.33
6/23/2022,898,22312.46
6/22/2022,417,13113.81
6/21/2022,411,12588.32
6/20/2022,378,12435.32
6/19/2022,837,25619.03
6/18/2022,1644,58113.5
6/17/2022,1259,41942.64
6/16/2022,1831,50149.93
6/15/2022,1097,33693.36
6/14/2022,441,14933.15
6/13/2022,404,13502.11
6/12/2022,1266,39010.27
6/11/2022,2108,76918.98
6/10/2022,1291,45657.94
6/9/2022,1150,27260.53
6/8/2022,554,19349.82
6/7/2022,500,15647.19
6/6/2022,1636,45159.29
6/5/2022,1982,62447.82
6/4/2022,1985,71572.09
6/3/2022,1338,47542.2
6/2/2022,1056,26456.66
6/1/2022,466,12435.59
5/31/2022,468,14172.45
5/30/2022,405,12434.32
5/29/2022,1167,35674.37
5/28/2022,2123,77007.85
5/27/2022,1691,55223.34
5/26/2022,2293,62967.58
5/25/2022,1226,38316.14
5/24/2022,421,13314.61
5/23/2022,384,12463.4
5/22/2022,1103,35535.69
5/21/2022,2087,76441.37
5/20/2022,1168,41016.88
5/19/2022,774,20898.39
5/18/2022,531,17859.03
5/17/2022,484,16048.68
5/16/2022,379,13219.08
5/15/2022,1086,37249.16
5/14/2022,2191,79346.87
5/13/2022,1300,47959.99
5/12/2022,912,22834.51
5/11/2022,563,16508.65
5/10/2022,728,10913.22
5/9/2022,439,13595.13
5/8/2022,1014,30881.26
5/7/2022,2081,78634.85
5/6/2022,1402,49676.17
5/5/2022,951,28273.74
5/4/2022,433,16522.02
5/3/2022,394,12524.06
5/2/2022,454,12651.3
5/1/2022,1169,36022.75
4/30/2022,2208,76386.7
4/29/2022,1364,48782.98
4/28/2022,618,15125.14
4/27/2022,405,12409.92
4/26/2022,307,10587.42
4/25/2022,333,10385.17
4/24/2022,1096,33280.37
4/23/2022,2089,71987.26
4/22/2022,1495,49339.72
4/21/2022,1534,33214.16
4/20/2022,872,23233.68
4/19/2022,791,21498.37
4/18/2022,1217,32727.26
4/17/2022,1224,37081.16
4/16/2022,2049,67965.65
4/15/2022,2027,64221.22
4/14/2022,1314,32641.72
4/13/2022,789,22369.91
4/12/2022,675,19065.85
4/11/2022,578,18249.75
4/10/2022,1297,41186.87
4/9/2022,2006,72677.13
4/8/2022,1256,44885.43
4/7/2022,595,14967.37
4/6/2022,442,15244.35
4/5/2022,318,10822.34
4/4/2022,294,10947.19
4/3/2022,1014,30804.89
4/2/2022,1939,70945.4
4/1/2022,1085,39578.87
3/31/2022,808,19519.3
3/30/2022,513,16108.64
3/29/2022,396,10878.75
3/28/2022,416,14753.54
3/27/2022,1263,40001
3/26/2022,1953,71364.21
3/25/2022,1308,44911.44
3/24/2022,672,16146.82
3/23/2022,448,15463.75
3/22/2022,376,11993.15
3/21/2022,393,10382.29
3/20/2022,1095,35103.53
3/19/2022,1800,62461.95
3/18/2022,1144,42851.96
3/17/2022,714,21692.46
3/16/2022,414,13483.6
3/15/2022,300,11103.09
3/14/2022,239,6767.85
3/13/2022,1162,37310.87
3/12/2022,1897,69017.57
3/11/2022,1200,41799.03
3/10/2022,593,15814.22
3/9/2022,328,10311.53
3/8/2022,299,9516.51
3/7/2022,267,9534.43
3/6/2022,1121,33211.23
3/5/2022,2049,73316.36
3/4/2022,1281,43221.9
3/3/2022,537,14980.78
3/2/2022,401,13765.4
3/1/2022,221,7658.41
2/28/2022,567,17028.59
2/27/2022,1640,49032.71
2/26/2022,1925,68967.61
2/25/2022,1318,47915.49
2/24/2022,367,10850.97
2/23/2022,536,21073.43
2/20/2022,833,26499.9
2/19/2022,1915,68443.23
2/18/2022,585,20644.88
2/16/2022,375,13141.86
2/14/2022,36,21.18
2/13/2022,1032,42352.07
2/12/2022,1834,68474.83
2/11/2022,1111,43424.89
2/10/2022,291,11803.79
2/9/2022,335,12224.81
2/7/2022,1,0
2/6/2022,951,33494.24
2/5/2022,1698,59669.16
2/4/2022,1046,40879.37
2/3/2022,295,13068.37
2/2/2022,391,16202.14
1/31/2022,2,40.67
1/30/2022,1082,36890.04
1/29/2022,1488,56619.14
1/28/2022,954,37576.85
1/27/2022,198,8605.5
1/26/2022,357,15847.97
1/23/2022,764,28019.49
1/22/2022,961,40025.52
1/21/2022,582,23861.57
1/20/2022,151,2279.09
1/19/2022,5,683.92
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
